Platform,Language,Nakama Client,Source Files,Core Manager,Auth (Device),Auth (Email),Auth (Social),Profile,Wallet,Leaderboards,Storage,RPC,Real-time Socket,Hiro Systems,Satori,Monetization,Localization,Social/Friends,Tests,Samples,Docs,CI/CD,Error Handling,Config Validation,Overall Readiness %,Release Status,Phase
Unity / .NET,C#,nakama-unity,599,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Native (20 systems + gameId),Native (events+flags+experiments+live events+messages+metrics),Native (Ads+IAP),Native (12+ langs),Native (Friends+Share),EditMode + PlayMode,9 categories,Full MkDocs site,Unity 2023 + Unity 6,Full,Full,95%,Production Ready,Phase 1
Unreal Engine,C++ / Blueprints,nakama-unreal,10,Yes (Subsystem),Yes,Yes,Yes,Yes (full JSON),Via RPC (delegate),Yes (delegate),Yes (delegate),Yes (delegate),Yes,Via RPC,No,No,No,No,Example GameMode,Example GameMode,README + docs page,Structure validation,Full (delegates),Config Data Asset,91%,Production Ready,Phase 2
Godot Engine,GDScript,nakama-godot,7,Yes (Autoload),Yes,Yes,Yes,Yes,Via RPC,Yes,Yes,Yes,Yes (connect+disconnect),Via RPC,No,No,No,No,GUT tests (25),basic_example.gd,README + docs page,Structure validation,Full (null-safe),Resource validation,91%,Production Ready,Phase 2
Defold,Lua,nakama-defold,5,Yes (Module),Yes,Yes,Yes,Yes,Via RPC,Yes,Yes (callbacks),Yes,Yes (connect+disconnect),Via RPC,No,No,No,No,15 tests,basic_example.lua,README + docs page,Structure validation,Full (pcall wrapped),Configure validation,90%,Production Ready,Phase 2
Cocos2d-x,C++,nakama-cpp,9,Yes (Singleton),Yes,Yes,Yes,Yes,Via RPC (validated),Yes (null-safe),Yes,Yes,No,Via RPC,No,No,No,No,No (manual),ExampleScene,README + docs page,CMake cross-platform,Full (null checks),Input validation,90%,Production Ready,Phase 2
JavaScript / TypeScript,TypeScript,nakama-js,10,Yes (Singleton),Yes,Yes,Yes,Yes (typed),Via RPC (typed),Yes (typed),Yes (typed),Yes (typed),Yes (connect+disconnect),Via RPC,No,No,No,No,vitest (12 tests),Browser + Node.js,README + docs page,Node 18/20/22,Full (try/catch + events),validateConfig(),92%,Production Ready,Phase 1
C / C++,C++,nakama-cpp,10,Yes (Singleton),Yes,Yes,Yes,Yes,Via RPC (escaped),Yes (null-safe),Yes,Yes,No,Via RPC,No,No,No,No,14 assert tests,main.cpp example,README + docs page,CMake cross-platform,Full (null checks),Config::validate(),91%,Production Ready,Phase 2
Java / Android,Java,nakama-java,8,Yes (Singleton),Yes,Yes,Yes,Yes (IVXProfile),Via RPC,Yes (null-safe),Yes,Yes (async),No,Via RPC,No,No,No,No,JUnit 5 (20 tests),BasicExample.java,README + docs page,JDK 11/17/21,Full (thread-safe),Builder validation,91%,Production Ready,Phase 2
Flutter / Dart,Dart,nakama (pub.dev),7,Yes (Singleton),Yes,Yes,Yes,Yes,Via RPC,Yes,Yes,Yes,No,Via RPC,No,No,No,No,20 tests,main.dart example,README + docs page,Dart 3.0+,Full (try/catch),Config.validate(),91%,Production Ready,Phase 4
Web3 (Thirdweb/Moralis),TypeScript,nakama-js + ethers,10,Yes (Singleton),Yes (wallet sig),Yes (device fallback),No,Yes (typed),Via RPC (typed),Yes (typed),Yes (typed),Yes (typed),No,Via RPC,No,No,No,No,vitest (14 tests),Browser example,README + docs page,Node 18/20/22,Full (try/catch + events),validateWeb3Config(),92%,Production Ready,Future
